id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
32781004,A lovely loft in the middle of the city,63456346,Samuel,Casco Antiguo,"Encarnación, Regina",37.39585,-5.99412,Entire home/apt,98,3,72,2022-08-15,1.70,2,218,3,VFT/SE/03708
32782862,Apartamento en el centro de Sevilla,23251916,María,Casco Antiguo,Feria,37.39664,-5.99206,Entire home/apt,51,2,4,2022-07-31,0.13,1,0,1,CTC-2019134758
32799317,Beautiful and brand new 2 BD duplex with terrace. Galera IV,15819228,Genteelhome,Casco Antiguo,Arenal,37.38779,-5.99969,Entire home/apt,206,1,15,2022-08-14,0.36,21,216,8,CTC-2019033444
32802954,Centro de Sevilla junto a la Catedral,246762534,Eva,Casco Antiguo,San Bartolomé,37.38793,-5.98953,Entire home/apt,72,2,122,2022-09-12,2.83,1,27,38,VFT/SE/04637
32813270,Beautiful apartment historic center Sevilla 5 pax,246843810,Yolanda,Casco Antiguo,Alfalfa,37.39124,-5.99421,Entire home/apt,111,2,2,2020-02-19,0.06,1,132,0,VFT/SE/03093
32834214,RR2 SOLARIUM TERRACE. Bright 1D apartment with access to a common solarium,241271766,Nacho,Casco Antiguo,Feria,37.40005,-5.99029,Entire home/apt,99,2,23,2022-07-05,0.55,5,91,10,VFT/SE/03601
32836934,Sevilla Home Center Suite Catedral,2842843,Inmaculada,Casco Antiguo,Museo,37.38824,-6.00039,Hotel room,117,1,0,,,6,118,0,CTC/2018117342
32836975,Apartamento Bajo típico en el corazón de Triana,179785468,Rafael,Triana,Triana Casco Antiguo,37.38617,-6.00698,Entire home/apt,100,2,20,2022-05-21,0.47,6,88,8,VFT/SE/05064
32837829,La Judería del Buen Viaje,7731449,Diego,Casco Antiguo,San Bartolomé,37.38921,-5.98621,Entire home/apt,200,3,1,2019-12-10,0.03,1,268,0,CTC-2019027772
32856220,Cortijo De Tercia,247181671,Jose,Macarena - Norte,La Bachillera,37.43471,-5.97943,Entire home/apt,350,6,4,2019-12-30,0.10,1,234,0,CTC-2018171048
32856276,Antonio · LOLA 14 SUITE APARTMENT. Suite Antonio - 4P.,123493257,Magno Apartments,Casco Antiguo,San Gil,37.4007,-5.98755,Entire home/apt,116,1,29,2021-12-13,0.67,28,155,1,CTC- 2018194943
32857574,Loli with private Jacuzzi · LOLA 14 SUITE APARTMENT. Suite Loli - 3P.,123493257,Magno Apartments,Casco Antiguo,San Gil,37.4007,-5.98755,Entire home/apt,193,1,60,2022-09-10,1.44,28,166,17,CTC- 2018194943
32859498,Teresa · LOLA 14 SUITE APARTMENT. Suite Teresa - 2P.,123493257,Magno Apartments,Casco Antiguo,San Gil,37.4007,-5.98755,Entire home/apt,118,1,45,2022-01-07,1.06,28,163,1,CTC- 2018194943
32859783,Estudio en la Alameda (Centro Sevilla),246752269,Cristina,Casco Antiguo,San Lorenzo,37.39788,-5.9953,Entire home/apt,60,4,98,2022-09-15,2.31,1,46,24,VFT/SE/03528
32860146,Carmen · LOLA 14 SUITE APARTMENT. Suite Carmen. Duplex - 3P,123493257,Magno Apartments,Casco Antiguo,San Gil,37.4007,-5.98755,Entire home/apt,126,1,38,2022-08-14,0.90,28,170,4,CTC- 2018194943
32860887,Manolo · LOLA 14 SUITE APARTMENT. Suite Manolo,123493257,Magno Apartments,Casco Antiguo,San Gil,37.4007,-5.98755,Entire home/apt,129,1,32,2022-04-02,0.79,28,166,3,CTC- 2018194943
32861690,Victoria · LOLA 14 SUITE APARTMENT. Suite Victoria Rooftop-3P,123493257,Magno Apartments,Casco Antiguo,San Gil,37.4007,-5.98755,Entire home/apt,125,1,40,2022-09-09,0.93,28,158,4,CTC- 2018194943
