"";"name";"host_id";"host_name";"neighbourhood_group";"neighbourhood";"latitude";"longitude";"room_type";"price";"minimum_nights";"number_of_reviews";"last_review";"reviews_per_month";"calculated_host_listings_count";"availability_365";"number_of_reviews_ltm";"license";"log_price";"log_minimum_nights";"dummy_room_type";"dummy_ng"
"4977";"Apartamento Triana 2 - ALOJA SEVILLA";94842213;"Jose Manuel";"Triana";"Barrio León";37,37941;-6,01248;"Entire home/apt";57;3;27;"2022-09-06";2,4;7;59;27;"VFT/SE/03640";4,04305126783455;1,09861228866811;"Entire home/apt";0
"4978";"numa | Studio with Digital Check-In and AC";371906225;"Numa | Molina";"Casco Antiguo";"Santa Cruz";37,387573;-5,99235;"Entire home/apt";82;31;1;"2022-07-01";0,34;6;196;1;"";4,40671924726425;3,43398720448515;"Entire home/apt";1
"4979";"Monkeys Luxury Todogoma";49873291;"Monkeys Apartments";"Casco Antiguo";"Museo";37,38765;-6,00092;"Entire home/apt";149;2;0;"";0;23;119;0;"VFT/SE/04655";5,00394630594546;0,693147180559945;"Entire home/apt";1
"4983";"Dúplex céntrico de dos dormitorios";269512747;"Juanmi Y Laura";"Casco Antiguo";"Encarnación, Regina";37,39518;-5,99098;"Entire home/apt";93;2;4;"2022-06-21";0,37;29;71;4;"VFT/SE/08738";4,53259949315326;0,693147180559945;"Entire home/apt";1
"4984";"Lovely Location in Seville-Triana";80677871;"Alejandro";"Triana";"Triana Casco Antiguo";37,383354;-6,002555;"Entire home/apt";52;2;74;"2022-09-20";7;3;32;74;"VFT/SE/08757";3,95124371858143;0,693147180559945;"Entire home/apt";0
"4985";"PARKING FREE.NEXT TO THE CATHEDRAL";135478329;"Marisa";"Casco Antiguo";"Santa Cruz";37,3880922871972;-5,99378311804012;"Entire home/apt";81;1;2;"2022-09-15";2;1;92;2;"VFT/SE/01999";4,39444915467244;0;"Entire home/apt";1
"4986";"Luminoso apartamento con Roof-Top en  San Bernardo";43776522;"Simon";"Nervión";"La Buhaira";37,38213;-5,98083;"Entire home/apt";146;1;7;"2022-08-20";1,19;3;220;7;"VFT/SE/08763";4,98360662170834;0;"Entire home/apt";0
"4987";"Los Rincones de Stephan B";224267464;"Click Apartments";"Casco Antiguo";"San Vicente";37,39459;-5,99818;"Entire home/apt";144;3;13;"2022-06-07";1,19;16;360;13;"VFT/SE/01576";4,969813299576;1,09861228866811;"Entire home/apt";1
"4988";"Los Rincones de Stephan 1";224267464;"Click Apartments";"Casco Antiguo";"San Vicente";37,39499;-5,99997;"Entire home/apt";114;3;9;"2022-09-06";0,88;16;344;9;"VFT/SE/01575";4,7361984483945;1,09861228866811;"Entire home/apt";1
"4989";"Los Rincones de Stephan 2";224267464;"Click Apartments";"Casco Antiguo";"San Vicente";37,39417;-5,99996;"Entire home/apt";115;3;4;"2022-03-19";0,36;16;345;4;"VFT/SE/01542";4,74493212836325;1,09861228866811;"Entire home/apt";1
